opeid8,award_year,descriptor,raw_values,normalized_values
00100900,2001-2002,school,AUBURN UNIVERSITY | AUBURN UNIVERSITY-AUBURN,AUBURN UNIVERSITY | AUBURN UNIVERSITY AUBURN
00101300,1999-2000,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2000-2001,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2001-2002,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2008-2009,school,CALHOUN COMMUNITY COLLEGE | John C Calhoun State Community College,CALHOUN COMMUNITY COLLEGE | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101500,1999-2000,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2000-2001,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2001-2002,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE JR COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE JR COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2002-2003,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise State Junior College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE STATE JUNIOR COLLEGE
00101500,2003-2004,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise State Junior College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE STATE JUNIOR COLLEGE
00101500,2004-2005,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101500,2005-2006,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101500,2007-2008,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101700,2001-2002,school,GADSDEN STATE COMMUNITY COLLEGE | GADSDEN STATE CMTY COLLEGE,GADSDEN STATE COMMUNITY COLLEGE | GADSDEN STATE CMTY COLLEGE
00101800,2001-2002,school,GEORGE C. WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL-DOTHAN,GEORGE C WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL DOTHAN
00101800,2002-2003,school,GEORGE C. WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL-DOTHAN,GEORGE C WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL DOTHAN
00103000,2001-2002,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2002-2003,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2003-2004,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2004-2005,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2005-2006,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2006-2007,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2007-2008,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2008-2009,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2009-2010,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2010-2011,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2011-2012,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2012-2013,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2013-2014,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2014-2015,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2015-2016,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2016-2017,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2017-2018,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2018-2019,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103100,2001-2002,school,NORTHEAST ALABAMA COMMUNITY COLLEGE | NORTHEAST ALABAMA STATE COMMUNITY COLLEGE,NORTHEAST ALABAMA COMMUNITY COLLEGE | NORTHEAST ALABAMA STATE COMMUNITY COLLEGE
00103300,1999-2000,school,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY
00103300,2000-2001,school,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY
00103300,2001-2002,school,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY
00103300,2002-2003,school,OAKWOOD COLLEGE | Oakwood College | OAKWOOD UNIVERSITY,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY
00103300,2003-2004,school,OAKWOOD COLLEGE | Oakwood College | OAKWOOD UNIVERSITY,OAKWOOD COLLEGE | OAKWOOD UNIVERSITY
00103300,2004-2005,school,OAKWOOD UNIVERSITY | Oakwood College,OAKWOOD UNIVERSITY | OAKWOOD COLLEGE
00103300,2005-2006,school,OAKWOOD UNIVERSITY | Oakwood College,OAKWOOD UNIVERSITY | OAKWOOD COLLEGE
00103300,2007-2008,school,OAKWOOD UNIVERSITY | Oakwood College,OAKWOOD UNIVERSITY | OAKWOOD COLLEGE
00103300,2008-2009,school,OAKWOOD UNIVERSITY | Oakwood College,OAKWOOD UNIVERSITY | OAKWOOD COLLEGE
00104700,2001-2002,school,TROY UNIVERSITY | TROY STATE UNIVERSITY,TROY UNIVERSITY | TROY STATE UNIVERSITY
00104700,2002-2003,school,TROY UNIVERSITY | Troy State University,TROY UNIVERSITY | TROY STATE UNIVERSITY
00104700,2003-2004,school,TROY UNIVERSITY | Troy State University,TROY UNIVERSITY | TROY STATE UNIVERSITY
00104700,2004-2005,school,TROY UNIVERSITY | Troy State University,TROY UNIVERSITY | TROY STATE UNIVERSITY
00104700,2005-2006,school,TROY UNIVERSITY | Troy State University,TROY UNIVERSITY | TROY STATE UNIVERSITY
00105200,2001-2002,school,UNIVERSITY OF ALABAMA AT BIRMINGHAM | UNIVERSITY OF ALABAMA-BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM | UNIVERSITY OF ALABAMA BIRMINGHAM
00105500,2001-2002,school,UNIVERSITY OF ALABAMA IN HUNTSVILLE | UNIVERSITY OF ALABAMA-HUNTSVILLE,UNIVERSITY OF ALABAMA IN HUNTSVILLE | UNIVERSITY OF ALABAMA HUNTSVILLE
00105500,2002-2003,school,UNIVERSITY OF ALABAMA IN HUNTSVILLE | University of Alabama at Huntsville,UNIVERSITY OF ALABAMA IN HUNTSVILLE | UNIVERSITY OF ALABAMA AT HUNTSVILLE
00105500,2003-2004,school,UNIVERSITY OF ALABAMA IN HUNTSVILLE | University of Alabama at Huntsville,UNIVERSITY OF ALABAMA IN HUNTSVILLE | UNIVERSITY OF ALABAMA AT HUNTSVILLE
00105900,2001-2002,school,LAWSON STATE COMMUNITY COLLEGE | LAWSON STATE CMTY COLLEGE,LAWSON STATE COMMUNITY COLLEGE | LAWSON STATE CMTY COLLEGE
00106000,2001-2002,school,FAULKNER STATE COMMUNITY COLLEGE | JAMES H FAULKNER STATE COMMUNITY COLLEGE,FAULKNER STATE COMMUNITY COLLEGE | JAMES H FAULKNER STATE COMMUNITY COLLEGE
00106000,2009-2010,school,JAMES H. FAULKNER STATE COMMUNITY COLLEGE | Faulkner State Community College,JAMES H FAULKNER STATE COMMUNITY COLLEGE | FAULKNER STATE COMMUNITY COLLEGE
00106000,2015-2016,school,COASTAL ALABAMA COMMUNITY COLLEGE | James H. Faulkner State Community College,COASTAL ALABAMA COMMUNITY COLLEGE | JAMES H FAULKNER STATE COMMUNITY COLLEGE
00106500,2001-2002,school,UNIVERSITY OF ALASKA SOUTHEAST | UNIVERSITY OF ALASKA-JUNEAU,UNIVERSITY OF ALASKA SOUTHEAST | UNIVERSITY OF ALASKA JUNEAU
00106500,2002-2003,school,UNIVERSITY OF ALASKA SOUTHEAST | University of Alaska at Southeast,UNIVERSITY OF ALASKA SOUTHEAST | UNIVERSITY OF ALASKA AT SOUTHEAST
00106500,2003-2004,school,UNIVERSITY OF ALASKA SOUTHEAST | University of Alaska at Southeast,UNIVERSITY OF ALASKA SOUTHEAST | UNIVERSITY OF ALASKA AT SOUTHEAST
00107000,2001-2002,school,AMERICAN GRAD SCHOOL OF INT MGT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT,AMERICAN GRAD SCHOOL OF INT MGT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
00107000,2002-2003,school,"Thunderbird, The American Graduate School of International Management | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT",THUNDERBIRD THE AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
00107000,2003-2004,school,"Thunderbird, The American Graduate School of International Management | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT",THUNDERBIRD THE AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
00107000,2004-2005,school,"Thunderbird, The American Graduate School of International Management | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT",THUNDERBIRD THE AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
00107000,2005-2006,school,"Thunderbird, The Garvin School of International Management | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT",THUNDERBIRD THE GARVIN SCHOOL OF INTERNATIONAL MANAGEMENT | THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
00108500,2001-2002,school,UNIVERSITY OF ARKANSAS AT MONTICELLO | UNIVERSITY OF ARKANSAS-MONTICELLO,UNIVERSITY OF ARKANSAS AT MONTICELLO | UNIVERSITY OF ARKANSAS MONTICELLO
00108600,2001-2002,school,UNIVERSITY OF ARKANSAS AT PINE BLUFF | UNIVERSITY OF ARKANSAS-PINE BLUFF,UNIVERSITY OF ARKANSAS AT PINE BLUFF | UNIVERSITY OF ARKANSAS PINE BLUFF
00110100,2001-2002,school,UNIVERSITY OF ARKANSAS AT LITTLE ROCK | UNIVERSITY OF ARKANSAS-LITTLE ROCK,UNIVERSITY OF ARKANSAS AT LITTLE ROCK | UNIVERSITY OF ARKANSAS LITTLE ROCK
00110400,2001-2002,school,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS | PHILLIPS COUNTY COMMUNITY COLLEGE OF U OF A,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS | PHILLIPS COUNTY COMMUNITY COLLEGE OF U OF A
00110600,2016-2017,school,Williams Baptist University | Williams Baptist College,WILLIAMS BAPTIST UNIVERSITY | WILLIAMS BAPTIST COLLEGE
00111000,2001-2002,school,UNIVERSITY OF ARKANSAS AT FORT SMITH | WESTARK COLLEGE,UNIVERSITY OF ARKANSAS AT FORT SMITH | WESTARK COLLEGE
00111900,2001-2002,school,BARSTOW COMMUNITY COLLEGE | BARSTOW COLLEGE,BARSTOW COMMUNITY COLLEGE | BARSTOW COLLEGE
00112100,2001-2002,school,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLY OF GOD,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLY OF GOD
00112100,2002-2003,school,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | Bethany College of the Assemblies of God,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLIES OF GOD
00112100,2003-2004,school,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | Bethany College of the Assemblies of God,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLIES OF GOD
00112100,2004-2005,school,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | Bethany College of the Assemblies of God,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLIES OF GOD
00112100,2005-2006,school,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | Bethany College of the Assemblies of God,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD | BETHANY COLLEGE OF THE ASSEMBLIES OF GOD
00112200,2001-2002,school,BIOLA UNIVERSITY | BIOLA UNIVERSITY INC,BIOLA UNIVERSITY | BIOLA UNIVERSITY INC
00112300,2001-2002,school,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY
00112300,2002-2003,school,BROOKS INSTITUTE | Brooks Institute of Photography,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY
00112300,2003-2004,school,BROOKS INSTITUTE | Brooks Institute of Photography,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY
00112300,2004-2005,school,BROOKS INSTITUTE | Brooks Institute of Photography,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY
00112300,2005-2006,school,BROOKS INSTITUTE | Brooks Institute of Photography,BROOKS INSTITUTE | BROOKS INSTITUTE OF PHOTOGRAPHY
00112700,2001-2002,school,CALIFORNIA COLLEGE OF THE ARTS | CALIFORNIA COLLEGE OF ARTS & CRAFTS,CALIFORNIA COLLEGE OF THE ARTS | CALIFORNIA COLLEGE OF ARTS AND CRAFTS
00112700,2002-2003,school,CALIFORNIA COLLEGE OF THE ARTS | California College of Arts & Crafts,CALIFORNIA COLLEGE OF THE ARTS | CALIFORNIA COLLEGE OF ARTS AND CRAFTS
00112700,2003-2004,school,CALIFORNIA COLLEGE OF THE ARTS | California College of Arts & Crafts,CALIFORNIA COLLEGE OF THE ARTS | CALIFORNIA COLLEGE OF ARTS AND CRAFTS
00113400,2015-2016,school,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY | California Maritime Academy,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY | CALIFORNIA MARITIME ACADEMY
00113500,2001-2002,school,CALIFORNIA COLLEGE OF PODIATRIC MED | CALIFORNIA COLLEGE OF PODIATRIC MEDICINE,CALIFORNIA COLLEGE OF PODIATRIC MED | CALIFORNIA COLLEGE OF PODIATRIC MEDICINE
00113800,2001-2002,school,"CALIFORNIA STATE UNIVERSITY, EAST BAY | CALIFORNIA STATE UNIVERSITY",CALIFORNIA STATE UNIVERSITY EAST BAY | CALIFORNIA STATE UNIVERSITY
00113800,2002-2003,school,"CALIFORNIA STATE UNIVERSITY, EAST BAY | California State University, Hayward",CALIFORNIA STATE UNIVERSITY EAST BAY | CALIFORNIA STATE UNIVERSITY HAYWARD
00113800,2003-2004,school,"CALIFORNIA STATE UNIVERSITY, EAST BAY | California State University, Hayward",CALIFORNIA STATE UNIVERSITY EAST BAY | CALIFORNIA STATE UNIVERSITY HAYWARD
00113800,2004-2005,school,"CALIFORNIA STATE UNIVERSITY, EAST BAY | California State University, Hayward",CALIFORNIA STATE UNIVERSITY EAST BAY | CALIFORNIA STATE UNIVERSITY HAYWARD
00113900,2001-2002,school,"CALIFORNIA STATE UNIVERSITY, LONG BEACH | CALIFORNIA STATE UNIVERSITY-LONG BC",CALIFORNIA STATE UNIVERSITY LONG BEACH | CALIFORNIA STATE UNIVERSITY LONG BC
00114000,2001-2002,school,"CALIFORNIA STATE UNIVERSITY - LOS ANGELES | CALIFORNIA STATE UNIVERSITY-LA | CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CALIFORNIA STATE UNIVERSITY LOS ANGELES | CALIFORNIA STATE UNIVERSITY LA
00114100,2001-2002,school,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS | CALIFORNIA STATE UNIVERSITY DOMINGUEZ",CALIFORNIA STATE UNIVERSITY DOMINGUEZ HILLS | CALIFORNIA STATE UNIVERSITY DOMINGUEZ
00114300,2001-2002,school,CALIFORNIA POLYTECHNIC STATE UNIVERSITY | CALIFORNIA POLY STATE UNIVERSITY,CALIFORNIA POLYTECHNIC STATE UNIVERSITY | CALIFORNIA POLY STATE UNIVERSITY
00114400,2001-2002,school,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA | CALIFORNIA STATE POLY UNIV-POMONA",CALIFORNIA STATE POLYTECHNIC UNIVERSITY POMONA | CALIFORNIA STATE POLY UNIV POMONA
00114900,2019-2020,school,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, HUMBOLDT | Humboldt State University",CALIFORNIA STATE POLYTECHNIC UNIVERSITY HUMBOLDT | HUMBOLDT STATE UNIVERSITY
00114900,2020-2021,school,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, HUMBOLDT | Humboldt State University",CALIFORNIA STATE POLYTECHNIC UNIVERSITY HUMBOLDT | HUMBOLDT STATE UNIVERSITY
00115000,2001-2002,school,CALIFORNIA STATE UNIVERSITY - SACRAMENTO - | CALIFORNIA STATE UNIVERSITY-SACMNTO | CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CALIFORNIA STATE UNIVERSITY SACRAMENTO | CALIFORNIA STATE UNIVERSITY SACMNTO
00115800,2001-2002,school,UNITED STATES INTERNATIONAL UNIV | UNITED STATES INTERNATIONAL UNIVERSITY,UNITED STATES INTERNATIONAL UNIV | UNITED STATES INTERNATIONAL UNIVERSITY
00116100,2001-2002,school,CERRITOS COMMUNITY COLLEGE | CERRITOS COLLEGE,CERRITOS COMMUNITY COLLEGE | CERRITOS COLLEGE
00116100,2002-2003,school,CERRITOS COMMUNITY COLLEGE | Cerritos College,CERRITOS COMMUNITY COLLEGE | CERRITOS COLLEGE
00116500,2001-2002,school,CHURCH DIVINITY SCH OF THE PACIFIC | CHURCH DIVINITY SCHOOL OF THE PACIFIC,CHURCH DIVINITY SCH OF THE PACIFIC | CHURCH DIVINITY SCHOOL OF THE PACIFIC
00116600,2001-2002,school,CITRUS COMMUNITY COLLEGE | CITRUS COLLEGE,CITRUS COMMUNITY COLLEGE | CITRUS COLLEGE
00116600,2017-2018,school,CITRUS COLLEGE | CITRUS COMMUNITY COLLEGE,CITRUS COLLEGE | CITRUS COMMUNITY COLLEGE
00117600,2022-2023,school,COALINGA COLLEGE | West Hills Community College,COALINGA COLLEGE | WEST HILLS COMMUNITY COLLEGE
00117700,2018-2019,school,COGSWELL UNIVERSITY OF SILICON VALLEY | Cogswell Polytechnical College,COGSWELL UNIVERSITY OF SILICON VALLEY | COGSWELL POLYTECHNICAL COLLEGE
00117700,2019-2020,school,UNIVERSITY OF SILICON VALLEY | Cogswell University Of Silicon Valley,UNIVERSITY OF SILICON VALLEY | COGSWELL UNIVERSITY OF SILICON VALLEY
00117900,2001-2002,school,NOTRE DAME DE NAMUR UNIVERSITY | COLLEGE OF NOTRE DAME,NOTRE DAME DE NAMUR UNIVERSITY | COLLEGE OF NOTRE DAME
00118300,2001-2002,school,HOLY NAMES UNIVERSITY | HOLY NAMES COLLEGE,HOLY NAMES UNIVERSITY | HOLY NAMES COLLEGE
00118300,2002-2003,school,HOLY NAMES UNIVERSITY | Holy Names College,HOLY NAMES UNIVERSITY | HOLY NAMES COLLEGE
00118300,2003-2004,school,HOLY NAMES UNIVERSITY | Holy Names College,HOLY NAMES UNIVERSITY | HOLY NAMES COLLEGE
00119600,2001-2002,school,DOMINICAN UNIVERSITY OF CALIFORNIA | DOMINICAN COLLEGE OF SAN RAFAEL,DOMINICAN UNIVERSITY OF CALIFORNIA | DOMINICAN COLLEGE OF SAN RAFAEL
00119700,2001-2002,school,EL CAMINO COLLEGE | EL CAMINO COMMUNITY COLLEGE,EL CAMINO COLLEGE | EL CAMINO COMMUNITY COLLEGE
00119700,2002-2003,school,EL CAMINO COLLEGE | El Camino College District,EL CAMINO COLLEGE | EL CAMINO COLLEGE DISTRICT
00119700,2003-2004,school,EL CAMINO COLLEGE | El Camino College District,EL CAMINO COLLEGE | EL CAMINO COLLEGE DISTRICT
00119700,2004-2005,school,EL CAMINO COLLEGE | El Camino College District,EL CAMINO COLLEGE | EL CAMINO COLLEGE DISTRICT
00119700,2005-2006,school,EL CAMINO COLLEGE | El Camino College District,EL CAMINO COLLEGE | EL CAMINO COLLEGE DISTRICT
00120300,2001-2002,school,GLENDALE COMMUNITY COLLEGE | GLENDALE CMTY COLLEGE,GLENDALE COMMUNITY COLLEGE | GLENDALE CMTY COLLEGE
00121200,2014-2015,school,HUMPHREYS UNIVERSITY | Humphreys College,HUMPHREYS UNIVERSITY | HUMPHREYS COLLEGE
00121200,2015-2016,school,HUMPHREYS UNIVERSITY | Humphreys College,HUMPHREYS UNIVERSITY | HUMPHREYS COLLEGE
00122000,2014-2015,school,MASTER'S UNIVERSITY AND SEMINARY (THE) | Master's College & Seminary (The),MASTERS UNIVERSITY AND SEMINARY | MASTERS COLLEGE AND SEMINARY
00122000,2015-2016,school,MASTER'S UNIVERSITY AND SEMINARY (THE) | Master's College & Seminary (The),MASTERS UNIVERSITY AND SEMINARY | MASTERS COLLEGE AND SEMINARY
00122900,2001-2002,school,LOS ANGELES COL OF CHIROPRACTIC | SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,LOS ANGELES COL OF CHIROPRACTIC | SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES
00122900,2002-2003,school,LOS ANGELES COL OF CHIROPRACTIC | SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,LOS ANGELES COL OF CHIROPRACTIC | SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES
00123000,2001-2002,school,SOUTHERN CALIF COL OF OPTOMETRY | SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY,SOUTHERN CALIF COL OF OPTOMETRY | SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY
00123000,2010-2011,school,Southern California College of Optometry | MARSHALL B. KETCHUM UNIVERSITY,SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY | MARSHALL B KETCHUM UNIVERSITY
00123000,2011-2012,school,Southern California College of Optometry | MARSHALL B. KETCHUM UNIVERSITY,SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY | MARSHALL B KETCHUM UNIVERSITY
00123700,2002-2003,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2003-2004,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2004-2005,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2005-2006,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2006-2007,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2007-2008,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2008-2009,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2009-2010,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2010-2011,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2011-2012,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2012-2013,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2013-2014,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2014-2015,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2015-2016,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
00123700,2016-2017,school,MERCED COLLEGE | Merced Community College,MERCED COLLEGE | MERCED COMMUNITY COLLEGE
