opeid8,award_year,descriptor,raw_values,normalized_values
02165100,2002-2003,school,EDP COLLEGE OF PUERTO RICO | Electronic Data Processing College of Puerto Rico,EDP COLLEGE OF PUERTO RICO | ELECTRONIC DATA PROCESSING COLLEGE OF PUERTO RICO
02165100,2003-2004,school,EDP COLLEGE OF PUERTO RICO | Electronic Data Processing College of Puerto Rico,EDP COLLEGE OF PUERTO RICO | ELECTRONIC DATA PROCESSING COLLEGE OF PUERTO RICO
02165100,2004-2005,school,EDP COLLEGE OF PUERTO RICO | Electronic Data Processing College of Puerto Rico,EDP COLLEGE OF PUERTO RICO | ELECTRONIC DATA PROCESSING COLLEGE OF PUERTO RICO
02165100,2005-2006,school,EDP COLLEGE OF PUERTO RICO | Electronic Data Processing College of Puerto Rico,EDP COLLEGE OF PUERTO RICO | ELECTRONIC DATA PROCESSING COLLEGE OF PUERTO RICO
02165100,2010-2011,school,EDP UNIVERSITY OF PUERTO RICO | EDP College of Puerto Rico,EDP UNIVERSITY OF PUERTO RICO | EDP COLLEGE OF PUERTO RICO
02165100,2011-2012,school,EDP UNIVERSITY OF PUERTO RICO | EDP College of Puerto Rico,EDP UNIVERSITY OF PUERTO RICO | EDP COLLEGE OF PUERTO RICO
02165200,2001-2002,school,SALON PROFESSIONAL ACADEMY (THE) | ACADEMY OF BEAUTY CULTURE,SALON PROFESSIONAL ACADEMY | ACADEMY OF BEAUTY CULTURE
02165200,2002-2003,school,SALON PROFESSIONAL ACADEMY (THE) | Academy of Beauty Culture,SALON PROFESSIONAL ACADEMY | ACADEMY OF BEAUTY CULTURE
02165200,2003-2004,school,SALON PROFESSIONAL ACADEMY (THE) | Academy of Beauty Culture,SALON PROFESSIONAL ACADEMY | ACADEMY OF BEAUTY CULTURE
02165200,2004-2005,school,SALON PROFESSIONAL ACADEMY (THE) | Academy of Beauty Culture,SALON PROFESSIONAL ACADEMY | ACADEMY OF BEAUTY CULTURE
02165200,2005-2006,school,SALON PROFESSIONAL ACADEMY (THE) | Academy of Beauty Culture,SALON PROFESSIONAL ACADEMY | ACADEMY OF BEAUTY CULTURE
02166400,2017-2018,school,NATIONAL UNIVERSITY COLLEGE-IBC INSTITUTE | INSTITUTO DE BANCA Y COMERCIO,NATIONAL UNIVERSITY COLLEGE IBC INSTITUTE | INSTITUTO DE BANCA Y COMERCIO
