family,award_year,record_disposition,record_origin,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,14,0,14,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,14,0,14,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,218,218,0,1626790274.27
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,218,0,218,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,218,0,218,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,218,0,218,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,218,0,218,
grants,2003-2004,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,4971,4971,0,11030878207.26
grants,2003-2004,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,4971,0,4971,
grants,2003-2004,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,4971,0,4971,
grants,2003-2004,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,4971,0,4971,
grants,2003-2004,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,4971,0,4971,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,8,8,0,23386380.76
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,8,0,8,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,227,227,0,1650615339.87
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,227,0,227,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,227,0,227,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,227,0,227,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,227,0,227,
grants,2004-2005,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,4976,4976,0,11461584153.57
grants,2004-2005,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,4976,0,4976,
grants,2004-2005,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,4976,0,4976,
grants,2004-2005,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,4976,0,4976,
grants,2004-2005,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,4976,0,4976,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,217,217,0,1735030879.88
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,217,0,217,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,217,0,217,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,217,0,217,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,217,0,217,
grants,2005-2006,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5032,5032,0,10937428113.34
grants,2005-2006,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5032,0,5032,
grants,2005-2006,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5032,0,5032,
grants,2005-2006,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5032,0,5032,
grants,2005-2006,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5032,0,5032,
