year,kind,vintage_status,dictionary_filename,source_url,sha256,member,path,total_variables,reviewed_variables,opeid_present,opeflag_present,act_present,cyactive_present,sector_present,parent_child_fields_json,introduction
2006,HD,selected_review_vintage,HD2006_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2006_Dict.zip,f481d2f29c0b057b86d8aee29a7bbce9cb00a091b978a33fc1455ec9b26f1938,hd2006.xlsx,ResearchBuild/IPEDS/annual_documentation/HD2006_Dict.zip,55,14,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2006-07
(Provisional/final release)

Filename | HD2006
 Provisional release: | June, 2008
 Final release: | The variables in this data file were not part of the prior year revisions system so the provisional release is the final release

Overview | This file contains directory information for every institution in the 2006-07 IPEDS universe.  Includes name, address, city, state, zip code and various URL links to the institution's home page, admissions and the  financial aid office.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2006-07 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and Carnegie classifications.
Note: | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data.  These data were not available in the 2006-07 Prior year revision system, so the provisional version is the final version for 2006-07.


Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2007,FLAGS,selected_review_vintage,FLAGS2007_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2007_Dict.zip,c0b105b05cc3ff26ef7553e4be0ebd538ea54336f4fe11e04b2942d894bb20ac,flags2007.xlsx,ResearchBuild/IPEDS/annual_documentation/FLAGS2007_Dict.zip,79,16,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_E12"", ""IDX_E12"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]","File Documentation for the IPEDS  response status data for all survey components, 2007
(Final/revised release)

Filename | FLAGS2007
  Provisional release: | March, 2009
  Revised release: | May, 2017

Overview | This file contains response status information for each survey component for every institution in the 2007 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting). Revised release identifies institutions that submitted revisions  for Completions and 12-month enrollment 2006-07, Fall enrollment and Human Resources, 2007,  Student Financial Aid 2006-07, Graduation Rates 2007,  and  Finance, Fiscal Year 2007.

Note | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data. 
Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.
Statistics | This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. "
2007,HD,selected_review_vintage,HD2007_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2007_Dict.zip,496f6fff5bedfaee8dd7c39b5efee7d4a85d20a460997f38017fc69c442a16ea,hd2007.xlsx,ResearchBuild/IPEDS/annual_documentation/HD2007_Dict.zip,59,14,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2007-08
(Provisional/final release)

Filename | HD2007
 Provisional release: | March, 2009
 Final release: | The variables in this data file were not part of the prior year revisions system so the provisional release is the final release

Overview | This file contains directory information for every institution in the 2007-08 IPEDS universe.  Includes name, address, city, state, zip code and various URL links to the institution's home page, admissions and the  financial aid office.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2007-08 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and Carnegie classifications.
Note: | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data.  These data were not available in the 2007-08 Prior year revision system, so the provisional version is the final version for 2007-08.


Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2008,FLAGS,selected_review_vintage,FLAGS2008_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2008_Dict.zip,b2d46fa3e5a55aaadd69ab03da1958685319f01ff8d71ddf27fd82a82f45b064,flags2008.xlsx,ResearchBuild/IPEDS/annual_documentation/FLAGS2008_Dict.zip,91,16,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_E12"", ""IDX_E12"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]","File Documentation for the IPEDS  response status data for all survey components, 2008
(Final/revised release)

Filename | FLAGS2008
  Provisional release: | November 2009
  Revised release: | April, 2016

Overview | This file contains response status information for each survey component for every institution in the 2009 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting).

Note | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data. 
Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.
Statistics | This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. "
2008,HD,selected_review_vintage,HD2008_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2008_Dict.zip,a2e02ec8654e63f6b12476b2b39225b1a0d7e9616a01a8d57b83d2c856315a9b,hd2008.xlsx,ResearchBuild/IPEDS/annual_documentation/HD2008_Dict.zip,59,14,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2008-09
(Provisional release)

Filename | HD2008
 Provisional release: | September 2009

Overview | This file contains directory information for every institution in the 2008-09 IPEDS universe.  Includes name, address, city, state, zip code and various URL links to the institution's home page, admissions and the  financial aid office.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2008-09 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and Carnegie classifications.
Note: | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data.  These data were not available in the 2008-09 Prior year revision system, so the provisional version is the final version for 2008-09.


Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2009,FLAGS,selected_review_vintage,FLAGS2009_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2009_Dict.zip,be54a059aedeb71beadd695ceda5557ee574167cb71bbbc2338ed395f02602e9,flags2009.xls,ResearchBuild/IPEDS/annual_documentation/FLAGS2009_Dict.zip,96,19,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_E12"", ""IDX_E12"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR"", ""PRCH_GR2"", ""IDX_GR2""]","File Documentation for the IPEDS  response status data for all survey components, 2009 

Filename | FLAGS2009

Overview | This file contains response status information for each survey component for every institution in the 2009 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting).

Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.
Statistics | This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. "
2009,HD,selected_review_vintage,HD2009_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2009_Dict.zip,b2da7b5bb559f032a9c2a08e583ed2f6ab9ab2efbff84dacd86619a633891533,hd2009.html,ResearchBuild/IPEDS/annual_documentation/HD2009_Dict.zip,62,13,True,True,True,True,True,[],Data Dictionary
2010,FLAGS,selected_review_vintage,FLAGS2010_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2010_Dict.zip,7da8a6bf33a24ea86744506dff5738ba62e73764159024bacbfa02cf33b1192d,flags2010.xls,ResearchBuild/IPEDS/annual_documentation/FLAGS2010_Dict.zip,87,19,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_E12"", ""IDX_E12"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR"", ""PRCH_GR2"", ""IDX_GR2""]","File Documentation for the IPEDS  response status data for all survey components, 2010 

Filename | FLAGS2010
   original release date: | October 17, 2011
   second release: | April 17, 2012
   third release: | January 9, 2013

Overview | This file contains response status information for each survey component for every institution in the 2010 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting).

Note | The revised data file contains additional indicator variables identifying institutions who revised data on Institutional Characteristics, Completions, 12-month enrollment or Student Financial Aid. There were no changes made to the existing variables on the October release.

Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2010,HD,selected_review_vintage,HD2010_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2010_Dict.zip,e5aae5fa45bb36b328fae3f4fdbd2b3ee43eca0b315688c9c910bd22f95dabbf,hd2010.xls,ResearchBuild/IPEDS/annual_documentation/HD2010_Dict.zip,66,14,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2010 

Filename | HD2010

Overview | This file contains directory information for every institution in the 2010 IPEDS universe.  Includes name, address, city, state and zipcode.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2010 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and carnegie classifications.

Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2011,FLAGS,selected_review_vintage,FLAGS2011_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2011_Dict.zip,db58aacddfcc7ac4503b7b7ee53558b9bec261fec8b02d623a1b6eed69016f88,flags2011.xls,ResearchBuild/IPEDS/annual_documentation/FLAGS2011_Dict.zip,82,18,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_E12"", ""IDX_E12"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR"", ""PRCH_GR2"", ""IDX_GR2""]","File Documentation for the IPEDS  response status data for all survey components, 2011 

Filename | FLAGS2011
    Provisional release date: | December 2012
    Revised release date (1): | June 2013
    Revised release date (2): | December 2013

Overview | This file contains response status information for each survey component for every institution in the 2011 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting).

Note | The revised data file contains additional indicator variables identifying institutions who revised data.  Revisions to Institutional Characteristics, Completions, 12-month enrollment and Student Financial Aid were released in June.  The second release included revisions to Human Resources, Fall enrollment, Finance and Graduation rates. There were no changes made to the existing variables on the October release.
Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
