portable_name,canonical_name,variable_label
dl_unsub_loans_origin_86a94e4f14,loan_direct__unsubsidized_loans_originated_amt__upper_bound,Direct Loan: Unsubsidized loans originated amount upper bound
dl_unsub_disb_n_51867c0c37,loan_direct__unsubsidized_disbursements_n,Direct Loan: Unsubsidized disbursements count
dl_unsub_disb_n_statu_aeb78ea539,loan_direct__unsubsidized_disbursements_n__status,Direct Loan: Unsubsidized disbursements count status
dl_unsub_disb_n_raw_t_94e7c95ae3,loan_direct__unsubsidized_disbursements_n__raw_token,Direct Loan: Unsubsidized disbursements count raw token
dl_unsub_disb_n_lb_777d591cd6,loan_direct__unsubsidized_disbursements_n__lower_bound,Direct Loan: Unsubsidized disbursements count lower bound
dl_unsub_disb_n_ub_95e0a947b9,loan_direct__unsubsidized_disbursements_n__upper_bound,Direct Loan: Unsubsidized disbursements count upper bound
dl_unsub_disb_dc10bb125f,loan_direct__unsubsidized_disbursements,Direct Loan: Unsubsidized disbursements
dl_unsub_disb_status_fb26f42669,loan_direct__unsubsidized_disbursements__status,Direct Loan: Unsubsidized disbursements status
dl_unsub_disb_raw_tok_2f54ff1adf,loan_direct__unsubsidized_disbursements__raw_token,Direct Loan: Unsubsidized disbursements raw token
dl_unsub_disb_lb_84024180df,loan_direct__unsubsidized_disbursements__lower_bound,Direct Loan: Unsubsidized disbursements lower bound
dl_unsub_disb_ub_92a0b10939,loan_direct__unsubsidized_disbursements__upper_bound,Direct Loan: Unsubsidized disbursements upper bound
loan_direct__plus_recipients,loan_direct__plus_recipients,Direct Loan: PLUS recipients
dl_plus_recips_status_b262edc80d,loan_direct__plus_recipients__status,Direct Loan: PLUS recipients status
dl_plus_recips_raw_to_1cb86bb22e,loan_direct__plus_recipients__raw_token,Direct Loan: PLUS recipients raw token
dl_plus_recips_lb_f7b84eadad,loan_direct__plus_recipients__lower_bound,Direct Loan: PLUS recipients lower bound
dl_plus_recips_ub_13efe90e02,loan_direct__plus_recipients__upper_bound,Direct Loan: PLUS recipients upper bound
dl_plus_loans_origina_12714543b7,loan_direct__plus_loans_originated_n,Direct Loan: PLUS loans originated count
dl_plus_loans_origina_014c39dceb,loan_direct__plus_loans_originated_n__status,Direct Loan: PLUS loans originated count status
dl_plus_loans_origina_1a1c3e46af,loan_direct__plus_loans_originated_n__raw_token,Direct Loan: PLUS loans originated count raw token
dl_plus_loans_origina_95d6bd3dcc,loan_direct__plus_loans_originated_n__lower_bound,Direct Loan: PLUS loans originated count lower bound
dl_plus_loans_origina_97d2e49f05,loan_direct__plus_loans_originated_n__upper_bound,Direct Loan: PLUS loans originated count upper bound
dl_plus_loans_origina_aaba443403,loan_direct__plus_loans_originated_amt,Direct Loan: PLUS loans originated amount
dl_plus_loans_origina_2f0378c8e0,loan_direct__plus_loans_originated_amt__status,Direct Loan: PLUS loans originated amount status
dl_plus_loans_origina_b33978898a,loan_direct__plus_loans_originated_amt__raw_token,Direct Loan: PLUS loans originated amount raw token
dl_plus_loans_origina_0d68f47116,loan_direct__plus_loans_originated_amt__lower_bound,Direct Loan: PLUS loans originated amount lower bound
dl_plus_loans_origina_8e9e144578,loan_direct__plus_loans_originated_amt__upper_bound,Direct Loan: PLUS loans originated amount upper bound
dl_plus_disb_n_509dc33665,loan_direct__plus_disbursements_n,Direct Loan: PLUS disbursements count
dl_plus_disb_n_status_f2b7f6214c,loan_direct__plus_disbursements_n__status,Direct Loan: PLUS disbursements count status
dl_plus_disb_n_raw_to_0b96bcf323,loan_direct__plus_disbursements_n__raw_token,Direct Loan: PLUS disbursements count raw token
dl_plus_disb_n_lb_2616561ca8,loan_direct__plus_disbursements_n__lower_bound,Direct Loan: PLUS disbursements count lower bound
dl_plus_disb_n_ub_5f6928427c,loan_direct__plus_disbursements_n__upper_bound,Direct Loan: PLUS disbursements count upper bound
loan_direct__plus_disbursements,loan_direct__plus_disbursements,Direct Loan: PLUS disbursements
dl_plus_disb_status_921d30ed0c,loan_direct__plus_disbursements__status,Direct Loan: PLUS disbursements status
dl_plus_disb_raw_toke_ed1af02a2c,loan_direct__plus_disbursements__raw_token,Direct Loan: PLUS disbursements raw token
dl_plus_disb_lb_c42e7ce6b9,loan_direct__plus_disbursements__lower_bound,Direct Loan: PLUS disbursements lower bound
dl_plus_disb_ub_52ac2574a6,loan_direct__plus_disbursements__upper_bound,Direct Loan: PLUS disbursements upper bound
dl_grad_plus_recips_865bbdd585,loan_direct__grad_plus_recipients,Direct Loan: Grad PLUS recipients
dl_grad_plus_recips_s_204998b70c,loan_direct__grad_plus_recipients__status,Direct Loan: Grad PLUS recipients status
dl_grad_plus_recips_r_618ada116d,loan_direct__grad_plus_recipients__raw_token,Direct Loan: Grad PLUS recipients raw token
dl_grad_plus_recips_l_1b5fa8c927,loan_direct__grad_plus_recipients__lower_bound,Direct Loan: Grad PLUS recipients lower bound
dl_grad_plus_recips_u_0a5bbaa2b8,loan_direct__grad_plus_recipients__upper_bound,Direct Loan: Grad PLUS recipients upper bound
dl_grad_plus_loans_or_bc4e8f61ea,loan_direct__grad_plus_loans_originated_n,Direct Loan: Grad PLUS loans originated count
dl_grad_plus_loans_or_31f88a3520,loan_direct__grad_plus_loans_originated_n__status,Direct Loan: Grad PLUS loans originated count status
dl_grad_plus_loans_or_43d09a27ee,loan_direct__grad_plus_loans_originated_n__raw_token,Direct Loan: Grad PLUS loans originated count raw token
dl_grad_plus_loans_or_28f7829004,loan_direct__grad_plus_loans_originated_n__lower_bound,Direct Loan: Grad PLUS loans originated count lower bound
dl_grad_plus_loans_or_3e6b265530,loan_direct__grad_plus_loans_originated_n__upper_bound,Direct Loan: Grad PLUS loans originated count upper bound
dl_grad_plus_loans_or_d26900f5fd,loan_direct__grad_plus_loans_originated_amt,Direct Loan: Grad PLUS loans originated amount
dl_grad_plus_loans_or_2362244da6,loan_direct__grad_plus_loans_originated_amt__status,Direct Loan: Grad PLUS loans originated amount status
dl_grad_plus_loans_or_01b4298e36,loan_direct__grad_plus_loans_originated_amt__raw_token,Direct Loan: Grad PLUS loans originated amount raw token
dl_grad_plus_loans_or_1e263f527b,loan_direct__grad_plus_loans_originated_amt__lower_bound,Direct Loan: Grad PLUS loans originated amount lower bound
dl_grad_plus_loans_or_ef106f9720,loan_direct__grad_plus_loans_originated_amt__upper_bound,Direct Loan: Grad PLUS loans originated amount upper bound
dl_grad_plus_disb_n_e7329fe3a5,loan_direct__grad_plus_disbursements_n,Direct Loan: Grad PLUS disbursements count
dl_grad_plus_disb_n_s_f59d300485,loan_direct__grad_plus_disbursements_n__status,Direct Loan: Grad PLUS disbursements count status
dl_grad_plus_disb_n_r_30b225e10f,loan_direct__grad_plus_disbursements_n__raw_token,Direct Loan: Grad PLUS disbursements count raw token
dl_grad_plus_disb_n_l_b525bf42ea,loan_direct__grad_plus_disbursements_n__lower_bound,Direct Loan: Grad PLUS disbursements count lower bound
dl_grad_plus_disb_n_u_e7dd3c8193,loan_direct__grad_plus_disbursements_n__upper_bound,Direct Loan: Grad PLUS disbursements count upper bound
dl_grad_plus_disb_10ccd96f57,loan_direct__grad_plus_disbursements,Direct Loan: Grad PLUS disbursements
dl_grad_plus_disb_sta_59c8198d02,loan_direct__grad_plus_disbursements__status,Direct Loan: Grad PLUS disbursements status
dl_grad_plus_disb_raw_6169db6655,loan_direct__grad_plus_disbursements__raw_token,Direct Loan: Grad PLUS disbursements raw token
dl_grad_plus_disb_lb_b70d143afd,loan_direct__grad_plus_disbursements__lower_bound,Direct Loan: Grad PLUS disbursements lower bound
dl_grad_plus_disb_ub_b3a03c3fa9,loan_direct__grad_plus_disbursements__upper_bound,Direct Loan: Grad PLUS disbursements upper bound
dl_parent_plus_recips_d71ea17e79,loan_direct__parent_plus_recipients,Direct Loan: Parent PLUS recipients
dl_parent_plus_recips_7331f95d86,loan_direct__parent_plus_recipients__status,Direct Loan: Parent PLUS recipients status
dl_parent_plus_recips_ca1d552b8e,loan_direct__parent_plus_recipients__raw_token,Direct Loan: Parent PLUS recipients raw token
dl_parent_plus_recips_e8ddd3b542,loan_direct__parent_plus_recipients__lower_bound,Direct Loan: Parent PLUS recipients lower bound
dl_parent_plus_recips_928bbbb877,loan_direct__parent_plus_recipients__upper_bound,Direct Loan: Parent PLUS recipients upper bound
dl_parent_plus_loans__454b60c90e,loan_direct__parent_plus_loans_originated_n,Direct Loan: Parent PLUS loans originated count
dl_parent_plus_loans__569120e188,loan_direct__parent_plus_loans_originated_n__status,Direct Loan: Parent PLUS loans originated count status
dl_parent_plus_loans__22a78b7ef3,loan_direct__parent_plus_loans_originated_n__raw_token,Direct Loan: Parent PLUS loans originated count raw token
dl_parent_plus_loans__7452714446,loan_direct__parent_plus_loans_originated_n__lower_bound,Direct Loan: Parent PLUS loans originated count lower bound
dl_parent_plus_loans__9f7076124b,loan_direct__parent_plus_loans_originated_n__upper_bound,Direct Loan: Parent PLUS loans originated count upper bound
dl_parent_plus_loans__1568073877,loan_direct__parent_plus_loans_originated_amt,Direct Loan: Parent PLUS loans originated amount
dl_parent_plus_loans__50e1878f32,loan_direct__parent_plus_loans_originated_amt__status,Direct Loan: Parent PLUS loans originated amount status
dl_parent_plus_loans__ef675d5249,loan_direct__parent_plus_loans_originated_amt__raw_token,Direct Loan: Parent PLUS loans originated amount raw token
dl_parent_plus_loans__c57f79f318,loan_direct__parent_plus_loans_originated_amt__lower_bound,Direct Loan: Parent PLUS loans originated amount lower bound
dl_parent_plus_loans__efe78c610e,loan_direct__parent_plus_loans_originated_amt__upper_bound,Direct Loan: Parent PLUS loans originated amount upper bound
dl_parent_plus_disb_n_84662a5c64,loan_direct__parent_plus_disbursements_n,Direct Loan: Parent PLUS disbursements count
dl_parent_plus_disb_n_8fa808ed29,loan_direct__parent_plus_disbursements_n__status,Direct Loan: Parent PLUS disbursements count status
dl_parent_plus_disb_n_1ddeb3a8b3,loan_direct__parent_plus_disbursements_n__raw_token,Direct Loan: Parent PLUS disbursements count raw token
dl_parent_plus_disb_n_7126ca8a83,loan_direct__parent_plus_disbursements_n__lower_bound,Direct Loan: Parent PLUS disbursements count lower bound
dl_parent_plus_disb_n_ffbeab3c7d,loan_direct__parent_plus_disbursements_n__upper_bound,Direct Loan: Parent PLUS disbursements count upper bound
dl_parent_plus_disb_8cc2d0eafc,loan_direct__parent_plus_disbursements,Direct Loan: Parent PLUS disbursements
dl_parent_plus_disb_s_805771b3e2,loan_direct__parent_plus_disbursements__status,Direct Loan: Parent PLUS disbursements status
dl_parent_plus_disb_r_4ded349883,loan_direct__parent_plus_disbursements__raw_token,Direct Loan: Parent PLUS disbursements raw token
dl_parent_plus_disb_l_fe8c9bb1f0,loan_direct__parent_plus_disbursements__lower_bound,Direct Loan: Parent PLUS disbursements lower bound
dl_parent_plus_disb_u_f799a8b010,loan_direct__parent_plus_disbursements__upper_bound,Direct Loan: Parent PLUS disbursements upper bound
dl_sub_ug_recips_1c2c18673c,loan_direct__subsidized_undergraduate_recipients,Direct Loan: Subsidized undergraduate recipients
dl_sub_ug_recips_stat_ada6dbfe0f,loan_direct__subsidized_undergraduate_recipients__status,Direct Loan: Subsidized undergraduate recipients status
dl_sub_ug_recips_raw__5abc107bfc,loan_direct__subsidized_undergraduate_recipients__raw_token,Direct Loan: Subsidized undergraduate recipients raw token
dl_sub_ug_recips_lb_9a04930cc0,loan_direct__subsidized_undergraduate_recipients__lower_bound,Direct Loan: Subsidized undergraduate recipients lower bound
dl_sub_ug_recips_ub_d7be9bac57,loan_direct__subsidized_undergraduate_recipients__upper_bound,Direct Loan: Subsidized undergraduate recipients upper bound
dl_sub_ug_loans_origi_3f56983cc8,loan_direct__subsidized_undergraduate_loans_originated_n,Direct Loan: Subsidized undergraduate loans originated count
dl_sub_ug_loans_origi_cfd510f7e2,loan_direct__subsidized_undergraduate_loans_originated_n__status,Direct Loan: Subsidized undergraduate loans originated count status
dl_sub_ug_loans_origi_ca0f2a2835,loan_direct__subsidized_undergraduate_loans_originated_n__raw_token,Direct Loan: Subsidized undergraduate loans originated count raw token
dl_sub_ug_loans_origi_602ef098fe,loan_direct__subsidized_undergraduate_loans_originated_n__lower_bound,Direct Loan: Subsidized undergraduate loans originated count lower bound
dl_sub_ug_loans_origi_5f3552b200,loan_direct__subsidized_undergraduate_loans_originated_n__upper_bound,Direct Loan: Subsidized undergraduate loans originated count upper bound
dl_sub_ug_loans_origi_792c18922b,loan_direct__subsidized_undergraduate_loans_originated_amt,Direct Loan: Subsidized undergraduate loans originated amount
dl_sub_ug_loans_origi_dc2a228d2a,loan_direct__subsidized_undergraduate_loans_originated_amt__status,Direct Loan: Subsidized undergraduate loans originated amount status
dl_sub_ug_loans_origi_928128ee50,loan_direct__subsidized_undergraduate_loans_originated_amt__raw_token,Direct Loan: Subsidized undergraduate loans originated amount raw token
dl_sub_ug_loans_origi_4db4092f8e,loan_direct__subsidized_undergraduate_loans_originated_amt__lower_bound,Direct Loan: Subsidized undergraduate loans originated amount lower bound
dl_sub_ug_loans_origi_ab5a5a2e83,loan_direct__subsidized_undergraduate_loans_originated_amt__upper_bound,Direct Loan: Subsidized undergraduate loans originated amount upper bound
dl_sub_ug_disb_n_e33a03bc0e,loan_direct__subsidized_undergraduate_disbursements_n,Direct Loan: Subsidized undergraduate disbursements count
dl_sub_ug_disb_n_stat_1eeefcc889,loan_direct__subsidized_undergraduate_disbursements_n__status,Direct Loan: Subsidized undergraduate disbursements count status
dl_sub_ug_disb_n_raw__bcc1a5d277,loan_direct__subsidized_undergraduate_disbursements_n__raw_token,Direct Loan: Subsidized undergraduate disbursements count raw token
dl_sub_ug_disb_n_lb_6c8ef44370,loan_direct__subsidized_undergraduate_disbursements_n__lower_bound,Direct Loan: Subsidized undergraduate disbursements count lower bound
dl_sub_ug_disb_n_ub_ef1b17911c,loan_direct__subsidized_undergraduate_disbursements_n__upper_bound,Direct Loan: Subsidized undergraduate disbursements count upper bound
dl_sub_ug_disb_520d66372b,loan_direct__subsidized_undergraduate_disbursements,Direct Loan: Subsidized undergraduate disbursements
dl_sub_ug_disb_status_3ea293879f,loan_direct__subsidized_undergraduate_disbursements__status,Direct Loan: Subsidized undergraduate disbursements status
dl_sub_ug_disb_raw_to_2eabacceae,loan_direct__subsidized_undergraduate_disbursements__raw_token,Direct Loan: Subsidized undergraduate disbursements raw token
dl_sub_ug_disb_lb_1fe70ab423,loan_direct__subsidized_undergraduate_disbursements__lower_bound,Direct Loan: Subsidized undergraduate disbursements lower bound
dl_sub_ug_disb_ub_86b20be786,loan_direct__subsidized_undergraduate_disbursements__upper_bound,Direct Loan: Subsidized undergraduate disbursements upper bound
dl_sub_grad_recips_880445e589,loan_direct__subsidized_graduate_recipients,Direct Loan: Subsidized graduate recipients
dl_sub_grad_recips_st_29749c4a19,loan_direct__subsidized_graduate_recipients__status,Direct Loan: Subsidized graduate recipients status
dl_sub_grad_recips_ra_76501b320c,loan_direct__subsidized_graduate_recipients__raw_token,Direct Loan: Subsidized graduate recipients raw token
dl_sub_grad_recips_lb_e2e5514fee,loan_direct__subsidized_graduate_recipients__lower_bound,Direct Loan: Subsidized graduate recipients lower bound
dl_sub_grad_recips_ub_8b30bcc51c,loan_direct__subsidized_graduate_recipients__upper_bound,Direct Loan: Subsidized graduate recipients upper bound
dl_sub_grad_loans_ori_1b91e47038,loan_direct__subsidized_graduate_loans_originated_n,Direct Loan: Subsidized graduate loans originated count
dl_sub_grad_loans_ori_5921f5f19c,loan_direct__subsidized_graduate_loans_originated_n__status,Direct Loan: Subsidized graduate loans originated count status
dl_sub_grad_loans_ori_fb4d9ff107,loan_direct__subsidized_graduate_loans_originated_n__raw_token,Direct Loan: Subsidized graduate loans originated count raw token
dl_sub_grad_loans_ori_80de881272,loan_direct__subsidized_graduate_loans_originated_n__lower_bound,Direct Loan: Subsidized graduate loans originated count lower bound
dl_sub_grad_loans_ori_e22fcc3bad,loan_direct__subsidized_graduate_loans_originated_n__upper_bound,Direct Loan: Subsidized graduate loans originated count upper bound
dl_sub_grad_loans_ori_86031272f0,loan_direct__subsidized_graduate_loans_originated_amt,Direct Loan: Subsidized graduate loans originated amount
dl_sub_grad_loans_ori_b89caad9b5,loan_direct__subsidized_graduate_loans_originated_amt__status,Direct Loan: Subsidized graduate loans originated amount status
dl_sub_grad_loans_ori_847aa56761,loan_direct__subsidized_graduate_loans_originated_amt__raw_token,Direct Loan: Subsidized graduate loans originated amount raw token
dl_sub_grad_loans_ori_aa4d212ee6,loan_direct__subsidized_graduate_loans_originated_amt__lower_bound,Direct Loan: Subsidized graduate loans originated amount lower bound
dl_sub_grad_loans_ori_8e724061f0,loan_direct__subsidized_graduate_loans_originated_amt__upper_bound,Direct Loan: Subsidized graduate loans originated amount upper bound
dl_sub_grad_disb_n_4ba76f16d9,loan_direct__subsidized_graduate_disbursements_n,Direct Loan: Subsidized graduate disbursements count
dl_sub_grad_disb_n_st_6893ae542c,loan_direct__subsidized_graduate_disbursements_n__status,Direct Loan: Subsidized graduate disbursements count status
dl_sub_grad_disb_n_ra_a72c304f22,loan_direct__subsidized_graduate_disbursements_n__raw_token,Direct Loan: Subsidized graduate disbursements count raw token
dl_sub_grad_disb_n_lb_fd911d2fd7,loan_direct__subsidized_graduate_disbursements_n__lower_bound,Direct Loan: Subsidized graduate disbursements count lower bound
dl_sub_grad_disb_n_ub_49cae852b5,loan_direct__subsidized_graduate_disbursements_n__upper_bound,Direct Loan: Subsidized graduate disbursements count upper bound
dl_sub_grad_disb_02303f8038,loan_direct__subsidized_graduate_disbursements,Direct Loan: Subsidized graduate disbursements
dl_sub_grad_disb_stat_fb0a822f0d,loan_direct__subsidized_graduate_disbursements__status,Direct Loan: Subsidized graduate disbursements status
dl_sub_grad_disb_raw__36fa2aba32,loan_direct__subsidized_graduate_disbursements__raw_token,Direct Loan: Subsidized graduate disbursements raw token
dl_sub_grad_disb_lb_43963d068a,loan_direct__subsidized_graduate_disbursements__lower_bound,Direct Loan: Subsidized graduate disbursements lower bound
dl_sub_grad_disb_ub_8560279964,loan_direct__subsidized_graduate_disbursements__upper_bound,Direct Loan: Subsidized graduate disbursements upper bound
dl_unsub_ug_recips_d8f6177c46,loan_direct__unsubsidized_undergraduate_recipients,Direct Loan: Unsubsidized undergraduate recipients
dl_unsub_ug_recips_st_cd737ad5a8,loan_direct__unsubsidized_undergraduate_recipients__status,Direct Loan: Unsubsidized undergraduate recipients status
dl_unsub_ug_recips_ra_23f721ccca,loan_direct__unsubsidized_undergraduate_recipients__raw_token,Direct Loan: Unsubsidized undergraduate recipients raw token
dl_unsub_ug_recips_lb_71a112a716,loan_direct__unsubsidized_undergraduate_recipients__lower_bound,Direct Loan: Unsubsidized undergraduate recipients lower bound
dl_unsub_ug_recips_ub_462f63b8cd,loan_direct__unsubsidized_undergraduate_recipients__upper_bound,Direct Loan: Unsubsidized undergraduate recipients upper bound
dl_unsub_ug_loans_ori_d49c6357da,loan_direct__unsubsidized_undergraduate_loans_originated_n,Direct Loan: Unsubsidized undergraduate loans originated count
dl_unsub_ug_loans_ori_34032e9743,loan_direct__unsubsidized_undergraduate_loans_originated_n__status,Direct Loan: Unsubsidized undergraduate loans originated count status
dl_unsub_ug_loans_ori_4ab095d5cd,loan_direct__unsubsidized_undergraduate_loans_originated_n__raw_token,Direct Loan: Unsubsidized undergraduate loans originated count raw token
dl_unsub_ug_loans_ori_024c31847c,loan_direct__unsubsidized_undergraduate_loans_originated_n__lower_bound,Direct Loan: Unsubsidized undergraduate loans originated count lower bound
dl_unsub_ug_loans_ori_14932f11bf,loan_direct__unsubsidized_undergraduate_loans_originated_n__upper_bound,Direct Loan: Unsubsidized undergraduate loans originated count upper bound
dl_unsub_ug_loans_ori_4684629adb,loan_direct__unsubsidized_undergraduate_loans_originated_amt,Direct Loan: Unsubsidized undergraduate loans originated amount
dl_unsub_ug_loans_ori_1838956e26,loan_direct__unsubsidized_undergraduate_loans_originated_amt__status,Direct Loan: Unsubsidized undergraduate loans originated amount status
dl_unsub_ug_loans_ori_f532d4c4c8,loan_direct__unsubsidized_undergraduate_loans_originated_amt__raw_token,Direct Loan: Unsubsidized undergraduate loans originated amount raw token
dl_unsub_ug_loans_ori_44d6b5e447,loan_direct__unsubsidized_undergraduate_loans_originated_amt__lower_bound,Direct Loan: Unsubsidized undergraduate loans originated amount lower bound
dl_unsub_ug_loans_ori_ff56ac4bf6,loan_direct__unsubsidized_undergraduate_loans_originated_amt__upper_bound,Direct Loan: Unsubsidized undergraduate loans originated amount upper bound
dl_unsub_ug_disb_n_47295eb2c2,loan_direct__unsubsidized_undergraduate_disbursements_n,Direct Loan: Unsubsidized undergraduate disbursements count
dl_unsub_ug_disb_n_st_3190113df9,loan_direct__unsubsidized_undergraduate_disbursements_n__status,Direct Loan: Unsubsidized undergraduate disbursements count status
dl_unsub_ug_disb_n_ra_2604ee9995,loan_direct__unsubsidized_undergraduate_disbursements_n__raw_token,Direct Loan: Unsubsidized undergraduate disbursements count raw token
dl_unsub_ug_disb_n_lb_1c7e687296,loan_direct__unsubsidized_undergraduate_disbursements_n__lower_bound,Direct Loan: Unsubsidized undergraduate disbursements count lower bound
dl_unsub_ug_disb_n_ub_395e1de8a7,loan_direct__unsubsidized_undergraduate_disbursements_n__upper_bound,Direct Loan: Unsubsidized undergraduate disbursements count upper bound
dl_unsub_ug_disb_fbfcf883c6,loan_direct__unsubsidized_undergraduate_disbursements,Direct Loan: Unsubsidized undergraduate disbursements
dl_unsub_ug_disb_stat_9a63728f1e,loan_direct__unsubsidized_undergraduate_disbursements__status,Direct Loan: Unsubsidized undergraduate disbursements status
dl_unsub_ug_disb_raw__d9afbb4f3d,loan_direct__unsubsidized_undergraduate_disbursements__raw_token,Direct Loan: Unsubsidized undergraduate disbursements raw token
dl_unsub_ug_disb_lb_5cf6488d0b,loan_direct__unsubsidized_undergraduate_disbursements__lower_bound,Direct Loan: Unsubsidized undergraduate disbursements lower bound
dl_unsub_ug_disb_ub_e342596244,loan_direct__unsubsidized_undergraduate_disbursements__upper_bound,Direct Loan: Unsubsidized undergraduate disbursements upper bound
dl_unsub_grad_recips_bfbde4360d,loan_direct__unsubsidized_graduate_recipients,Direct Loan: Unsubsidized graduate recipients
dl_unsub_grad_recips__eff092bbba,loan_direct__unsubsidized_graduate_recipients__status,Direct Loan: Unsubsidized graduate recipients status
dl_unsub_grad_recips__333f37c15d,loan_direct__unsubsidized_graduate_recipients__raw_token,Direct Loan: Unsubsidized graduate recipients raw token
dl_unsub_grad_recips__2152184695,loan_direct__unsubsidized_graduate_recipients__lower_bound,Direct Loan: Unsubsidized graduate recipients lower bound
dl_unsub_grad_recips__543135e5d5,loan_direct__unsubsidized_graduate_recipients__upper_bound,Direct Loan: Unsubsidized graduate recipients upper bound
dl_unsub_grad_loans_o_2623bd05ed,loan_direct__unsubsidized_graduate_loans_originated_n,Direct Loan: Unsubsidized graduate loans originated count
dl_unsub_grad_loans_o_7156d92385,loan_direct__unsubsidized_graduate_loans_originated_n__status,Direct Loan: Unsubsidized graduate loans originated count status
dl_unsub_grad_loans_o_57cbd85911,loan_direct__unsubsidized_graduate_loans_originated_n__raw_token,Direct Loan: Unsubsidized graduate loans originated count raw token
dl_unsub_grad_loans_o_720efac25f,loan_direct__unsubsidized_graduate_loans_originated_n__lower_bound,Direct Loan: Unsubsidized graduate loans originated count lower bound
dl_unsub_grad_loans_o_559b01ef33,loan_direct__unsubsidized_graduate_loans_originated_n__upper_bound,Direct Loan: Unsubsidized graduate loans originated count upper bound
dl_unsub_grad_loans_o_f0f784d7dc,loan_direct__unsubsidized_graduate_loans_originated_amt,Direct Loan: Unsubsidized graduate loans originated amount
dl_unsub_grad_loans_o_2ebd238a76,loan_direct__unsubsidized_graduate_loans_originated_amt__status,Direct Loan: Unsubsidized graduate loans originated amount status
dl_unsub_grad_loans_o_53f23d9518,loan_direct__unsubsidized_graduate_loans_originated_amt__raw_token,Direct Loan: Unsubsidized graduate loans originated amount raw token
dl_unsub_grad_loans_o_c5b6141b14,loan_direct__unsubsidized_graduate_loans_originated_amt__lower_bound,Direct Loan: Unsubsidized graduate loans originated amount lower bound
dl_unsub_grad_loans_o_4d983185eb,loan_direct__unsubsidized_graduate_loans_originated_amt__upper_bound,Direct Loan: Unsubsidized graduate loans originated amount upper bound
dl_unsub_grad_disb_n_2dd489f95d,loan_direct__unsubsidized_graduate_disbursements_n,Direct Loan: Unsubsidized graduate disbursements count
dl_unsub_grad_disb_n__7b41ec72fa,loan_direct__unsubsidized_graduate_disbursements_n__status,Direct Loan: Unsubsidized graduate disbursements count status
dl_unsub_grad_disb_n__ec0ee4e8aa,loan_direct__unsubsidized_graduate_disbursements_n__raw_token,Direct Loan: Unsubsidized graduate disbursements count raw token
dl_unsub_grad_disb_n__ac231f73bd,loan_direct__unsubsidized_graduate_disbursements_n__lower_bound,Direct Loan: Unsubsidized graduate disbursements count lower bound
dl_unsub_grad_disb_n__8e5eea38bc,loan_direct__unsubsidized_graduate_disbursements_n__upper_bound,Direct Loan: Unsubsidized graduate disbursements count upper bound
dl_unsub_grad_disb_fa49f581da,loan_direct__unsubsidized_graduate_disbursements,Direct Loan: Unsubsidized graduate disbursements
dl_unsub_grad_disb_st_929de7dedd,loan_direct__unsubsidized_graduate_disbursements__status,Direct Loan: Unsubsidized graduate disbursements status
dl_unsub_grad_disb_ra_a5d1ac1e2c,loan_direct__unsubsidized_graduate_disbursements__raw_token,Direct Loan: Unsubsidized graduate disbursements raw token
dl_unsub_grad_disb_lb_dcb7b5e591,loan_direct__unsubsidized_graduate_disbursements__lower_bound,Direct Loan: Unsubsidized graduate disbursements lower bound
dl_unsub_grad_disb_ub_fdc3d7c77f,loan_direct__unsubsidized_graduate_disbursements__upper_bound,Direct Loan: Unsubsidized graduate disbursements upper bound
dl_source_report_pres_6d3564e1c9,loan_direct__source_report_present,Direct Loan: Source report present
dl_fsa_school_review__c87dd30073,loan_direct__fsa_school__review_required,Direct Loan: FSA school review required
dl_fsa_state_review_r_dc10e1e516,loan_direct__fsa_state__review_required,Direct Loan: FSA state review required
dl_fsa_zip_code_revie_ad390a4c56,loan_direct__fsa_zip_code__review_required,Direct Loan: FSA zip code review required
dl_fsa_school_type_re_020211c4f0,loan_direct__fsa_school_type__review_required,Direct Loan: FSA school type review required
dl_fsa_descriptor_rev_f0c58a648a,loan_direct__fsa_descriptor_review_required,Direct Loan: FSA descriptor review required
loan_direct__ipeds_anchor,loan_direct__ipeds_anchor,Direct Loan: IPEDS anchor
loan_direct__ipeds_year,loan_direct__ipeds_year,Direct Loan: IPEDS year
loan_direct__ipeds_match_status,loan_direct__ipeds_match_status,Direct Loan: IPEDS match status
loan_direct__ipeds_match_method,loan_direct__ipeds_match_method,Direct Loan: IPEDS match method
dl_ipeds_exact_candid_6f879adb5b,loan_direct__ipeds_exact_candidate_count,Direct Loan: IPEDS exact candidate count
loan_direct__ipeds_unitid_start,loan_direct__ipeds_unitid_start,Direct Loan: IPEDS UNITID start
loan_direct__ipeds_unitid_end,loan_direct__ipeds_unitid_end,Direct Loan: IPEDS UNITID end
dl_ipeds_start_candid_c31509a278,loan_direct__ipeds_start_candidate_count,Direct Loan: IPEDS start candidate count
dl_ipeds_end_candidat_0f0632f293,loan_direct__ipeds_end_candidate_count,Direct Loan: IPEDS end candidate count
dl_ipeds_anchor_sensi_90c004cb79,loan_direct__ipeds_anchor_sensitivity,Direct Loan: IPEDS anchor sensitivity
loan_direct__ipeds_scope_root,loan_direct__ipeds_scope_root,Direct Loan: IPEDS scope root
dl_ipeds_root_unitid__2ea1304a20,loan_direct__ipeds_root_unitid_count_start,Direct Loan: IPEDS root UNITID count start
