portable_name,canonical_name,variable_label
campus__ipeds_scope_root,campus__ipeds_scope_root,Campus-based: IPEDS scope root
campus_ipeds_root_uni_b0d10b482d,campus__ipeds_root_unitid_count_start,Campus-based: IPEDS root UNITID count start
campus_ipeds_root_uni_197eb51a92,campus__ipeds_root_unitid_count_end,Campus-based: IPEDS root UNITID count end
campus__fsa_root_opeid_count,campus__fsa_root_opeid_count,Campus-based: FSA root opeid count
campus_ipeds_opeid_li_821f6c37d3,campus__ipeds_opeid_lifetime_unitid_count,Campus-based: IPEDS opeid lifetime UNITID count
campus_ipeds_unitid_l_90157ea649,campus__ipeds_unitid_lifetime_opeid_count,Campus-based: IPEDS UNITID lifetime opeid count
campus__ipeds_strict_eligible,campus__ipeds_strict_eligible,Campus-based: IPEDS strict eligible
campus_ipeds_strict_e_76abe923e9,campus__ipeds_strict_exclusion_reasons,Campus-based: IPEDS strict exclusion reasons
campus__ipeds_reporting_scope,campus__ipeds_reporting_scope,Campus-based: IPEDS reporting scope
campus__ipeds_instnm,campus__ipeds_instnm,Campus-based: IPEDS instnm
campus__ipeds_stabbr,campus__ipeds_stabbr,Campus-based: IPEDS stabbr
campus__ipeds_city,campus__ipeds_city,Campus-based: IPEDS city
campus__ipeds_zip,campus__ipeds_zip,Campus-based: IPEDS zip
campus__ipeds_opeflag,campus__ipeds_opeflag,Campus-based: IPEDS opeflag
campus__ipeds_sector,campus__ipeds_sector,Campus-based: IPEDS sector
campus__ipeds_cyactive,campus__ipeds_cyactive,Campus-based: IPEDS cyactive
campus__ipeds_act,campus__ipeds_act,Campus-based: IPEDS act
campus__ipeds_newid,campus__ipeds_newid,Campus-based: IPEDS newid
campus__ipeds_deathyr,campus__ipeds_deathyr,Campus-based: IPEDS deathyr
campus__ipeds_closedat,campus__ipeds_closedat,Campus-based: IPEDS closedat
campus__ipeds_postsec,campus__ipeds_postsec,Campus-based: IPEDS postsec
campus__ipeds_pseflag,campus__ipeds_pseflag,Campus-based: IPEDS pseflag
campus__ipeds_pset4flg,campus__ipeds_pset4flg,Campus-based: IPEDS pset4flg
campus__ipeds_rptmth,campus__ipeds_rptmth,Campus-based: IPEDS rptmth
campus__ipeds_f1systyp,campus__ipeds_f1systyp,Campus-based: IPEDS f1systyp
campus__ipeds_f1sysnam,campus__ipeds_f1sysnam,Campus-based: IPEDS f1sysnam
campus__ipeds_f1syscod,campus__ipeds_f1syscod,Campus-based: IPEDS f1syscod
campus__prch_ic,campus__prch_ic,Campus-based: Prch ic
campus__idx_ic,campus__idx_ic,Campus-based: Idx ic
campus__ipeds_source_path,campus__ipeds_source_path,Campus-based: IPEDS source path
campus__ipeds_source_sha256,campus__ipeds_source_sha256,Campus-based: IPEDS source sha256
campus__ipeds_source_member,campus__ipeds_source_member,Campus-based: IPEDS source member
campus__prch_c,campus__prch_c,Campus-based: Prch c
campus__idx_c,campus__idx_c,Campus-based: Idx c
campus__prch_ef,campus__prch_ef,Campus-based: Prch ef
