opeid8,award_year,school,grant__pell_disbursements,loan__unsubsidized_disbursements
00100200,1999-2000,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,,7045574
10020000,1999-2000,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,5520921,
