award_year,ipeds_year,unitid,instnm,opeid8,stabbr,city,sector,opeflag,act,cyactive,pset4flg,prch_f,idx_f,prch_sfa,idx_sfa,possible_group_evidence_category,diagnostic_root_fsa_opeids_json,official_observed_main_fsa_opeids_json,official_shared_parent_fsa_opeids_json,official_parent_reference_fsa_opeids_json,all_possible_group_fsa_opeids_json,cw_site_opeids_for_residual_unitid_json,cw_site_parent_opeids_json,cw_site_source_codes_json,cw_site_evidence_has_incomplete_parse,cw_reference_year_available,cw_preliminary_year,assignment_status,residual_type,fsa_observed_first_award_year,fsa_observed_last_award_year,fsa_observed_award_years
2024-2025,2024,229407,University of Houston-System Administration,01172100,TX,Houston,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""01172100""]","[""01172100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,231156,Vermont State Colleges-Office of the Chancellor,02916200,VT,Montpelier,0,2,A,1,1,1,231156,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02916200""]","[""02916200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,240435,University of Wisconsin-System Administration,00389400,WI,Madison,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00389400""]","[""00389400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,2005-2006,2005-2006,1.0
2024-2025,2024,241304,Columbia Central University-Caguas,00890200,PR,Caguas,3,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00890200"", ""00890201"", ""00890203"", ""00890206"", ""00890208"", ""00890209"", ""00890210""]","[""00890200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,242060,Sistema Universitario Ana G. Mendez,02601700,PR,Rio Piedras,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02601700""]","[""02601700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,243160,University of Puerto Rico-Central Administration,00394200,PR,San Juan,0,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00394200"", ""00394201"", ""00394202"", ""00394203"", ""00394204"", ""00394205"", ""00394206"", ""00394207"", ""00394208"", ""00394209"", ""00394210"", ""00394211""]","[""00394200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,1999-2000,2011-2012,13.0
2024-2025,2024,247083,University of Louisiana-System Administration,03344400,LA,Baton Rouge,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03344400""]","[""03344400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,400558,Los Angeles Pacific College,03124500,CA,Los Angeles,6,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""03124500""]","[""03124500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,,,
2024-2025,2024,404480,University System of Maryland-Research Centers,00795900,MD,Baltimore,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00795900""]","[""00795900""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,409379,Tennessee Board of Regents,02903100,TN,Nashville,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02903100""]","[""02903100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
