award_year,ipeds_year,unitid,instnm,opeid8,stabbr,city,sector,opeflag,act,cyactive,pset4flg,prch_f,idx_f,prch_sfa,idx_sfa,possible_group_evidence_category,diagnostic_root_fsa_opeids_json,official_observed_main_fsa_opeids_json,official_shared_parent_fsa_opeids_json,official_parent_reference_fsa_opeids_json,all_possible_group_fsa_opeids_json,cw_site_opeids_for_residual_unitid_json,cw_site_parent_opeids_json,cw_site_source_codes_json,cw_site_evidence_has_incomplete_parse,cw_reference_year_available,cw_preliminary_year,assignment_status,residual_type,fsa_observed_first_award_year,fsa_observed_last_award_year,fsa_observed_award_years
2024-2025,2024,126100,Yosemite Community College District Office,00914600,CA,Modesto,0,2,A,1,1,1,126100,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00914600""]","[""00914600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,128328,United States Air Force Academy,00136900,CO,USAF Academy,1,3,A,1,1,5,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00136900""]","[""00136900""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,deferment_only,,,
2024-2025,2024,130624,United States Coast Guard Academy,00141500,CT,New London,1,5,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00141500""]","[""00141500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,not_participating_with_opeid,,,
2024-2025,2024,136701,Saint Vincent de Paul Regional Seminary,00822300,FL,Boynton Beach,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00822300""]","[""00822300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2020-2021,18.0
2024-2025,2024,141963,University of Hawaii System Office,00788500,HI,Honolulu,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00788500""]","[""00788500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,143233,Bethany Theological Seminary,00163700,IN,Richmond,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00163700""]","[""00163700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,144777,DeVry University-Administrative Office,02075400,IL,Lisle,0,2,A,1,1,1,144777,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02075400"", ""02075401"", ""02075402"", ""02075403"", ""02075404"", ""02075405"", ""02075407"", ""02075408"", ""02075409"", ""02075410"", ""02075411"", ""02075412"", ""02075413"", ""02075414"", ""02075415"", ""02075416"", ""02075417"", ""02075418"", ""02075419"", ""02075420"", ""02075421"", ""02075422"", ""02075423"", ""02075424"", ""02075425"", ""02075426"", ""02075427"", ""02075428"", ""02075429"", ""02075430"", ""02075431"", ""02075432"", ""02075433"", ""02075434"", ""02075436"", ""02075437"", ""02075438"", ""02075439"", ""02075440"", ""02075441"", ""02075442"", ""02075443"", ""02075444"", ""02075445"", ""02075446"", ""02075447"", ""02075448"", ""02075449"", ""02075450"", ""02075451"", ""02075452"", ""02075453"", ""02075454"", ""02075455"", ""02075456"", ""02075457"", ""02075458"", ""02075459"", ""02075460"", ""02075461"", ""02075462"", ""02075463"", ""02075464"", ""02075465"", ""02075466"", ""02075467"", ""02075468"", ""02075469"", ""02075470"", ""02075471"", ""02075472"", ""02075473"", ""02075474"", ""02075476"", ""02075477"", ""02075478"", ""02075479"", ""02075480"", ""02075481"", ""02075482"", ""02075483"", ""02075484"", ""02075485"", ""02075486"", ""02075487"", ""02075488"", ""02075489"", ""02075490"", ""02075491"", ""02075492"", ""02075493"", ""02075494"", ""02075495"", ""02075496"", ""02075497"", ""02075498"", ""02075499"", ""12075400"", ""12075401"", ""12075402"", ""12075403"", ""12075404"", ""12075405"", ""12075406"", ""12075407"", ""12075408""]","[""02075400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,1999-2000,2012-2013,14.0
2024-2025,2024,146977,McCormick Theological Seminary,00172100,IL,Chicago,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00172100""]","[""00172100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,148876,St. Augustine College,02185400,IL,Chicago,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02185400"", ""02185401"", ""02185402"", ""02185403"", ""02185404""]","[""02185400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,148982,Spertus College,00166300,IL,Chicago,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00166300""]","[""00166300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,24.0
2024-2025,2024,149240,Southern Illinois University-System Office,00823700,IL,Carbondale,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00823700""]","[""00823700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,149587,University of Illinois System Offices,00800100,IL,Urbana,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00800100""]","[""00800100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,151865,Anabaptist Mennonite Biblical Seminary,00182300,IN,Elkhart,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00182300""]","[""00182300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,152044,West Michigan College of Barbering and Beauty,02491000,MI,Kalamazoo,6,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02491000""]","[""02491000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,152451,Saint Meinrad School of Theology,00727600,IN,St. Meinrad,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00727600""]","[""00727600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,157854,Kentucky Community and Technical College System,00549500,KY,Versailles,0,2,A,1,1,1,157854,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00549500"", ""00549501"", ""00549502"", ""00549503"", ""00549504""]","[""00549500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,2002-2003,2004-2005,3.0
2024-2025,2024,160597,Stevensons Academy of Hair Design,02269300,LA,New Orleans,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02269300""]","[""02269300""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,161280,University of Maine-System Central Office,00801200,ME,Orono,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00801200""]","[""00801200""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,164085,Maryland University of Integrative Health,02578400,MD,Laurel,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02578400""]","[""02578400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,164146,University System of Maryland,00795900,MD,Baltimore,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00795900""]","[""00795900""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,164155,United States Naval Academy,00210100,MD,Annapolis,1,3,A,1,1,5,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00210100""]","[""00210100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,deferment_only,,,
2024-2025,2024,166665,University of Massachusetts-Central Office,00801700,MA,Boston,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00801700""]","[""00801700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,167677,Saint John's Seminary,00221400,MA,Brighton,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00221400"", ""00221401""]","[""00221400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2017-2018,17.0
2024-2025,2024,174190,Nova Academy of Cosmetology Woodbury,02238100,MN,WOODBURY,9,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02238100""]","[""02238100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,175999,Board of Trustees-Mississippi State Institutions of Higher Learning,00876400,MS,Jackson,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00876400""]","[""00876400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,178439,University of Missouri-System Office,00251500,MO,Columbia,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00251500""]","[""00251500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,181747,University of Nebraska-Central Administration System Office,00802500,NE,Lincoln,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00802500""]","[""00802500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,182519,Nevada System of Higher Education-System Office,00802600,NV,Reno,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00802600""]","[""00802600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,183327,University System of New Hampshire System Office,00802700,NH,Concord,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00802700""]","[""00802700""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,190035,CUNY System Office,02506100,NY,New York,0,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""02506100""]","[""02506100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,1999-2000,2023-2024,25.0
