file,v2_sha256,v1_sha256,changed_from_v1,csv_member,rows,columns,url,vintage_resolution,has_prch_sfa,has_prch_f
FA2000HD.zip,a3c91094e8e2b953a54d322c0d6a298e909a55fe15ecdf7f8e14800eba1bbcb8,a3c91094e8e2b953a54d322c0d6a298e909a55fe15ecdf7f8e14800eba1bbcb8,False,fa2000hd.csv,9513,105,https://nces.ed.gov/ipeds/datacenter/data/FA2000HD.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FA2001HD.zip,b84854005d7e384991ce628a0110b856bca87085bc26b19cce9aad98583203f8,b84854005d7e384991ce628a0110b856bca87085bc26b19cce9aad98583203f8,False,fa2001hd.csv,9769,130,https://nces.ed.gov/ipeds/datacenter/data/FA2001HD.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2004.zip,22796a77730c3765c681646677c3b0b329cd6943621a134c2cc64b362e86e7c4,22796a77730c3765c681646677c3b0b329cd6943621a134c2cc64b362e86e7c4,False,flags2004.csv,6916,98,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2004.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2005.zip,1377bc11ae306be058adbc3567288fe3f8293c9591cbe86ccf3c60f1b7441890,1377bc11ae306be058adbc3567288fe3f8293c9591cbe86ccf3c60f1b7441890,False,flags2005.csv,7018,72,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2005.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2006.zip,fdb7bdd87e2b760f010f6af4b4a06bb4e0b53df5f35f5aeeef83a62ead5c6fa9,fdb7bdd87e2b760f010f6af4b4a06bb4e0b53df5f35f5aeeef83a62ead5c6fa9,False,flags2006.csv,7052,79,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2006.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2007.zip,b242f8ca319f97df2123541038311f66e8120c5e60123956b12df217602b0e4d,b242f8ca319f97df2123541038311f66e8120c5e60123956b12df217602b0e4d,False,flags2007.csv,7052,79,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2007.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2008.zip,02d9aab13517d0d1ead99c360a3bf7b5019209e98e3fce883c70c1aa55986bbe,02d9aab13517d0d1ead99c360a3bf7b5019209e98e3fce883c70c1aa55986bbe,False,flags2008.csv,7126,91,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2008.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2009.zip,c4c7ad7ab3c5d8f1357dbc5778b2fd68a2d9e8955c9bb1c8eddf5a3981c71df9,c4c7ad7ab3c5d8f1357dbc5778b2fd68a2d9e8955c9bb1c8eddf5a3981c71df9,False,flags2009.csv,7316,96,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2009.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2010.zip,7d3f85f8f957593e5a3f7bbd8c6dfd267dc32b1173501a186d84f67764cc0c79,7d3f85f8f957593e5a3f7bbd8c6dfd267dc32b1173501a186d84f67764cc0c79,False,flags2010.csv,7503,87,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2010.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
FLAGS2011.zip,35a5bd5094334e38df307b7d2e6306fd86852b83bc9eb92aa30086f651a54517,35a5bd5094334e38df307b7d2e6306fd86852b83bc9eb92aa30086f651a54517,False,flags2011.csv,7643,82,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2011.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
