opeid8,unitid,school,ipeds_instnm,state,ipeds_stabbr,ipeds_resolution_status,descriptor_review_required,cw_source_code,first,last,years,similarity,official_normalization_similarity
02306800,245962,MILLER-MOTTE COLLEGE,Platt College,TN,OK,official_site_and_directory_agree,True,2.0,2018-2019,2019-2020,2,0.3529411764705882,0.6666666666666666
02580100,364593,IVERSON INSTITUTE,Iverson Business School and Court Reporting,GA,TX,official_site_and_directory_agree,True,1.0,2010-2011,2011-2012,2,0.358974358974359,0.43333333333333335
02580100,364593,Iverson Institute,Iverson Business School and Court Reporting,GA,TX,official_site_and_directory_agree,False,3.0,2012-2013,2012-2013,1,0.358974358974359,0.43333333333333335
00777700,214245,REMINGTON COLLEGE - CLEVELAND CAMPUS,EDUCATION AMERICA-VALE TECHNICAL INSTITUTE,OH,PA,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.3902439024390244,0.3684210526315789
00777700,214245,REMINGTON COLLEGE - CLEVELAND CAMPUS,EDUCATION AMERICA-VALE TECHNICAL INSTITUTE,OH,PA,official_site_and_directory_agree,True,1.0,2001-2002,2001-2002,1,0.3902439024390244,0.3684210526315789
00777700,214245,REMINGTON COLLEGE - CLEVELAND CAMPUS,EDUCATION AMERICA-VALE TECHNICAL INSTITUTE,OH,PA,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.3902439024390244,0.3684210526315789
01009800,182430,NEUMONT UNIVERSITY,MORRISON UNIVERSITY,UT,NV,official_site_and_directory_agree,False,1.0,2000-2001,2004-2005,5,0.4,0.7567567567567568
01048900,157021,NATIONAL COLLEGE,NATIONAL COLLEGE OF BUSINESS AND TECH-LEXINGTON,IN,KY,official_site_and_directory_agree,True,1.0,2002-2003,2004-2005,3,0.4,0.5079365079365079
01009800,182430,NEUMONT UNIVERSITY,MORRISON UNIVERSITY,UT,NV,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.4,0.7567567567567568
01009800,182430,NEUMONT UNIVERSITY,Morrison University,UT,NV,official_site_and_directory_agree,True,1.0,2005-2006,2005-2006,1,0.4,0.7567567567567568
02617500,236531,ALTIERUS CAREER COLLEGE,Everest College-Seattle,VA,WA,official_site_and_directory_agree,True,2.0,2015-2016,2015-2016,1,0.4,0.4782608695652174
03078000,418269,Ohio Media School,Ohio Center for Broadcasting-Cincinnati,FL,OH,official_site_and_directory_agree,True,1.0,2014-2015,2014-2015,1,0.4,0.32142857142857145
00736200,186885,Stuart School of Business (The) - MedTech College,The Stuart School,IN,NJ,official_site_and_directory_agree,False,1.0,2006-2007,2006-2007,1,0.4137931034482758,0.4482758620689655
04051300,428444,Art Institute of Las Vegas (The),The Art Institute of Phoenix,NV,AZ,official_site_and_directory_agree,True,2.0,2016-2017,2017-2018,2,0.4166666666666667,0.72
03078000,418269,MIAMI MEDIA SCHOOL,Ohio Media School-Cincinnati,FL,OH,official_site_and_directory_agree,True,2.0,2015-2016,2015-2016,1,0.4375,0.6086956521739131
03078000,418269,Miami Media School,Ohio Media School-Cincinnati,FL,OH,official_site_and_directory_agree,False,2.0,2016-2017,2016-2017,1,0.4375,0.6086956521739131
01072717,177162,DEVRY UNIVERSITY - KANSAS CITY,DEVRY UNIVERSITY,IL,MO,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.4545454545454545,0.7272727272727273
01048900,157021,AMERICAN NATIONAL UNIVERSITY,National College-Lexington,IN,KY,official_site_and_directory_agree,True,1.0,2013-2014,2013-2014,1,0.4571428571428571,0.4074074074074074
03432300,432108,GENDARME INSTITUTE,GAMLA COLLEGE,CA,NY,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.4615384615384615,0.12903225806451613
01072718,184269,DEVRY UNIVERSITY- NEW JERSEY,DEVRY INSTITUTE,IL,NJ,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.4761904761904761,0.5238095238095238
01072717,177162,DEVRY UNIVERSITY - KANSAS CITY,DEVRY INSTITUTE OF TECHNOLOGY,IL,MO,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.4848484848484848,0.38596491228070173
02558700,417840,PRISM CAREER INSTITUTE,ACADEMY OF COMPUTER CAREERS,PA,NJ,official_site_and_directory_agree,False,1.0,2000-2001,2003-2004,4,0.5,0.40816326530612246
01072718,184269,DEVRY UNIVERSITY- NEW JERSEY,DEVRY COLLEGE OF TECHNOLOGY,IL,NJ,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5,0.2962962962962963
02558700,417840,PRISM CAREER INSTITUTE,ACADEMY OF COMPUTER CAREERS,PA,NJ,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.5,0.40816326530612246
03010611,122366,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERICA - CARLSBAD,San Diego Golf Academy,AL,CA,official_site_and_directory_agree,False,1.0,2007-2008,2007-2008,1,0.5,0.4507042253521127
04240400,483595,ANA G. MÉNDEZ UNIVERSITY,Universidad Ana G. Mendez-Online Campus,FL,PR,official_site_and_directory_agree,True,1.0,2019-2020,2019-2020,1,0.5116279069767442,0.4918032786885246
04240400,483595,Ana G. Méndez University,Universidad Ana G. Mendez-Online Campus,FL,PR,official_site_and_directory_agree,False,1.0,2020-2021,2020-2021,1,0.5116279069767442,0.4918032786885246
00267813,239929,BRYANT & STRATTON BUSINESS INSTITUTE - MILWAUKEE DOWNTOWN,BRYANT AND STRATTON COLLEGE,NY,WI,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2001-2002,2,0.5172413793103449,0.5238095238095238
01303907,251312,SOUTH UNIVERSITY - COLUMBIA,South University,GA,SC,official_site_and_directory_agree,False,1.0,2008-2009,2009-2010,2,0.5263157894736842,0.7804878048780488
01072720,202541,DEVRY UNIVERSITY - COLUMBUS,DEVRY UNIVERSITY,IL,OH,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5263157894736842,0.7804878048780488
04132600,451653,Wisconsin Academy a Paul Mitchell Partner Group (The),Wisconsin Academy,NE,WI,official_site_and_directory_agree,True,2.0,2015-2016,2015-2016,1,0.53125,0.53125
01303907,251312,SOUTH UNIVERSITY - COLUMBIA,COLUMBIA JUNIOR COLLEGE,GA,SC,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2001-2002,2,0.5517241379310345,0.3333333333333333
01072702,104531,DEVRY UNIVERSITY - PHOENIX,DEVRY INSTITUTE OF TECHNOLOGY,IL,AZ,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.5517241379310345,0.41509433962264153
01072714,139533,DEVRY UNIVERSITY - DECATUR,DEVRY INSTITUTE OF TECHNOLOGY,IL,GA,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.5517241379310345,0.49056603773584906
01072702,104531,DEVRY UNIVERSITY - PHOENIX,DEVRY UNIVERSITY,IL,AZ,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5555555555555556,0.8
01072714,139533,DEVRY UNIVERSITY - DECATUR,DEVRY UNIVERSITY,IL,GA,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5555555555555556,0.8
03747300,443702,BEXLEY SEABURY SEMINARY FEDERATION,Bexley Hall Episcopal Seminary,IL,OH,official_site_and_directory_agree,False,1.0,2012-2013,2014-2015,3,0.5625,0.5625
01072724,224402,DEVRY UNIVERSITY - IRVING,DEVRY INSTITUTE OF TECHNOLOGY,IL,TX,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.5714285714285714,0.4230769230769231
02576900,102845,Charter College,Charter College-Anchorage,WA,AK,official_site_and_directory_agree,False,1.0,2014-2015,2015-2016,2,0.5833333333333334,0.75
02576900,102845,Charter College,Charter College-Anchorage,WA,AK,official_site_and_directory_agree,True,1.0,2013-2014,2013-2014,1,0.5833333333333334,0.75
01072706,113607,DEVRY UNIVERSITY - POMONA,DEVRY UNIVERSITY,IL,CA,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5882352941176471,0.8205128205128205
01072724,224402,DEVRY UNIVERSITY - IRVING,DEVRY UNIVERSITY,IL,TX,official_site_alias_annual_unitid_verified,False,3.0,2001-2002,2001-2002,1,0.5882352941176471,0.8205128205128205
02572800,377342,Vista College,Vista College-Online,TX,UT,official_site_and_directory_agree,False,1.0,2014-2015,2014-2015,1,0.5882352941176471,0.7878787878787878
02572800,377342,Vista College,Vista College-Online,TX,UT,official_site_and_directory_agree,True,1.0,2013-2014,2013-2014,1,0.5882352941176471,0.7878787878787878
01072720,202541,DEVRY UNIVERSITY - COLUMBUS,DEVRY INSTITUTE OF TECHNOLOGY,IL,OH,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.6,0.5185185185185185
02580100,364593,Iverson Institute,Iverson Business School,GA,TX,official_site_and_directory_agree,False,1.0,2013-2014,2013-2014,1,0.6086956521739131,0.55
04137000,454962,UNIVERSITY OF AESTHETICS & COSMETOLOGY (THE),University of Aesthetics-Downers Grove,IL,AR,official_site_and_directory_agree,False,1.0,2011-2012,2011-2012,1,0.6086956521739131,0.7435897435897436
00267813,239929,BRYANT & STRATTON COLLEGE - MILWAUKEE DOWNTOWN,BRYANT AND STRATTON COLLEGE,NY,WI,official_site_alias_annual_unitid_verified,False,3.0,2002-2003,2003-2004,2,0.6122448979591837,0.7397260273972602
01048900,157021,National College,National College-Lexington,IN,KY,official_site_and_directory_agree,False,1.0,2008-2009,2010-2011,3,0.6153846153846154,0.7619047619047619
01048900,157021,National College,National College-Lexington,IN,KY,official_site_alias_annual_unitid_verified,False,1.0,2011-2012,2012-2013,2,0.6153846153846154,0.7619047619047619
01048900,157021,National College,National College-Lexington,IN,KY,official_site_and_directory_agree,True,1.0,2007-2008,2007-2008,1,0.6153846153846154,0.7619047619047619
03012100,223463,REMINGTON COLLEGE - COLORADO SPRINGS CAMPUS,REMINGTON COLLEGE-DALLAS CAMPUS,CO,TX,official_site_and_directory_agree,True,1.0,2003-2004,2004-2005,2,0.6190476190476191,0.7777777777777778
03698300,443331,West Coast University,West Coast University-Los Angeles,TX,CA,official_site_and_directory_agree,True,2.0,2022-2023,2023-2024,2,0.625,0.7777777777777778
03098700,440846,MILAN INSTITUTE,Milan Institute-Boise,CA,ID,official_site_and_directory_agree,False,1.0,2012-2013,2012-2013,1,0.625,0.8333333333333334
03098700,440846,Milan Institute,Milan Institute-Boise,CA,ID,official_site_and_directory_agree,True,1.0,2011-2012,2011-2012,1,0.625,0.8333333333333334
02617500,236531,Everest College,Everest College-Seattle,VA,WA,official_site_and_directory_agree,True,2.0,2014-2015,2014-2015,1,0.6363636363636364,0.7894736842105263
04122300,442569,UNIVERSITY OF ARKANSAS - GRANTHAM,Grantham University,AR,KS,official_site_and_directory_agree,False,1.0,2020-2021,2021-2022,2,0.64,0.4
02119200,224183,COURT REPORTING INSTITUTE OF ST LOUIS,Court Reporting Institute-Wheeler Institute of Texas,MO,TX,official_site_and_directory_agree,True,1.0,2012-2013,2012-2013,1,0.6415094339622641,0.6741573033707865
00267808,201469,BRYANT & STRATTON BUSINESS INSTITUTE - PARMA,BRYANT AND STRATTON COLLEGE,NY,OH,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2001-2002,2,0.6666666666666666,0.6197183098591549
02205206,391582,SANFORD-BROWN COLLEGE - COLLINSVILLE,SANFORD-BROWN COLLEGE,MO,IL,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.6666666666666666,0.7636363636363637
01179900,199689,PAUL MITCHELL THE SCHOOL CHARLESTON,Paul Mitchell the School-Fayetteville,SC,NC,official_site_and_directory_agree,False,2.0,2021-2022,2022-2023,2,0.68,0.7777777777777778
02615000,364335,Sanford-Brown College,Sanford-Brown Institute-Garden City,TX,NY,official_site_and_directory_agree,False,1.0,2010-2011,2010-2011,1,0.6842105263157895,0.5357142857142857
01072706,113607,DEVRY UNIVERSITY - POMONA,DEVRY INSTITUTE OF TECHNOLOGY-POMONA,IL,CA,official_site_alias_annual_unitid_verified,False,3.0,2000-2001,2000-2001,1,0.6857142857142857,0.6101694915254238
02616204,157599,BROWN MACKIE COLLEGE-FINDLAY - BROWN MACKIE COLLEGE - LOUISVILLE,Brown Mackie College-Louisville,OH,KY,official_site_and_directory_agree,False,1.0,2007-2008,2007-2008,1,0.6865671641791045,0.6813186813186813
02531800,380456,PAUL MITCHELL THE SCHOOL COSTA MESA,Paul Mitchell the School-Provo,CA,UT,official_site_and_directory_agree,False,2.0,2017-2018,2017-2018,1,0.6976744186046512,0.8
