opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
02099501,2007-2008,CENTRAL COMMUNITY COLLEGE - HASTINGS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2007,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Hastings Campus,Central Community College,Yes [YCY],1,-2,02099501,,both,unique_official_site_match,NE,False
02099501,2008-2009,CENTRAL COMMUNITY COLLEGE - HASTINGS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2008,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Hastings Campus,Central Community College,Yes [YCY],1,-2,02099501,,both,unique_official_site_match,NE,False
02099501,2009-2010,CENTRAL COMMUNITY COLLEGE - HASTINGS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2009,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Hastings Campus,Central Community College,Yes [YCY],1,-2,02099501,,both,unique_official_site_match,NE,False
02099502,2006-2007,CENTRAL COMMUNITY COLLEGE - COLUMBUS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2006,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Columbus Campus,Central Community College,Yes [YCY],1,-2,02099502,,both,unique_official_site_match,NE,False
02099502,2007-2008,CENTRAL COMMUNITY COLLEGE - COLUMBUS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2007,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Columbus Campus,Central Community College,Yes [YCY],1,-2,02099502,,both,unique_official_site_match,NE,False
02099502,2008-2009,CENTRAL COMMUNITY COLLEGE - COLUMBUS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2008,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Columbus Campus,Central Community College,Yes [YCY],1,-2,02099502,,both,unique_official_site_match,NE,False
02099502,2009-2010,CENTRAL COMMUNITY COLLEGE - COLUMBUS CAMPUS,NE,68801-7299,,no_exact_match,1,ambiguous_or_unmatched,2009,180902,1,ipeds_header_match,1.0,0.0,True,True,1,02099500,False,Central Community College,Central Community College - Columbus Campus,Central Community College,Yes [YCY],1,-2,02099502,,both,unique_official_site_match,NE,False
02101002,2007-2008,NORTHWEST COLLEGE,OR,97086-7702,,no_exact_match,2,ambiguous_or_unmatched,2007,209083,1,ipeds_header_match,1.0,0.0,True,True,2,02101000,False,Northwest College,Northwest College,Beaverton School of Beauty,Yes [YPY],2,-2,02101002|02553800,,both,unique_official_site_match,OR,False
02104300,2011-2012,Otsego Delaware Schoharie Greene BOCES,NY,12134-0000,,no_exact_match,1,ambiguous_or_unmatched,2011,194259,1,ipeds_header_match,1.0,0.0,True,True,1,02104300,False,Otsego Delaware Schoharie Greene BOCES,Otsego Delaware Schoharie Greene BOCES,Otsego Area BOCES-School of Practical Nursing,Yes [YCY],1,-2,02104300,,both,unique_official_site_match,NY,False
02104300,2012-2013,Otsego Delaware Schoharie Greene BOCES,NY,12134-0000,,no_exact_match,1,ambiguous_or_unmatched,2012,194259,1,ipeds_header_match,1.0,0.0,True,True,1,02104300,False,Otsego Delaware Schoharie Greene BOCES,Otsego Delaware Schoharie Greene BOCES,Otsego Area BOCES-School of Practical Nursing,Yes [YCY],1,-2,02104300,,both,unique_official_site_match,NY,False
